id,name,age,department,salary,working_hours
1,Grace,43,Finance,61343.57,36.2
2,Hank,46,Engineering,38123.95,22.7
3,Hank,23,Sales,33734.39,40.0
4,Hank,47,Engineering,55965.73,24.0
5,Frank,43,Marketing,62833.0,49.9
6,Frank,22,Marketing,106659.49,34.0
7,Alice,25,Finance,89762.36,20.4
8,Bob,43,Marketing,61130.87,58.8
9,Diana,29,Engineering,32166.53,53.3
10,Charlie,48,Operations,97871.5,55.2
11,Ivy,40,HR,82108.79,56.0
12,Charlie,32,Operations,60422.35,43.3
13,Alice,29,Sales,108662.28,25.2
14,Jack,41,Engineering,48537.06,57.9
15,Bob,55,Finance,32721.58,50.3
16,Hank,33,Sales,83412.75,42.3
17,Frank,60,Sales,85724.31,43.8
18,Charlie,23,Sales,69851.5,56.2
19,Alice,43,Engineering,63762.48,24.0
20,Frank,22,HR,49228.23,22.9
