id,name,age,department,salary,working_hours
1,Grace,37,Marketing,75627.05,31.9
2,Hank,58,HR,113891.43,35.5
3,Alice,54,Finance,116750.77,47.5
4,Ivy,47,Sales,42337.4,49.1
5,Ivy,32,Finance,98597.36,30.3
6,Alice,24,Operations,115900.25,40.2
7,Alice,22,HR,71326.63,27.7
8,Bob,30,Operations,34694.79,46.3
9,Bob,40,Sales,72241.53,59.6
10,Ivy,31,Finance,91899.38,58.0
11,Diana,53,Marketing,71728.55,25.7
12,Alice,53,Operations,70206.22,49.9
13,Grace,23,HR,71368.47,53.2
14,Hank,47,Engineering,66088.57,41.7
15,Grace,22,Sales,107234.56,29.5
16,Alice,26,Engineering,59526.87,44.3
17,Bob,24,HR,68975.82,24.6
18,Alice,57,Engineering,95102.8,43.6
19,Grace,37,Operations,39760.65,20.2
20,Grace,24,Engineering,92278.48,47.3
